Direction,Cars,Bikes,Buses,Trucks,Total,Density
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,4,0,0,0,4,LOW
North,3,0,0,0,3,LOW
North,4,0,0,0,4,LOW
North,4,0,0,0,4,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,1,4,LOW
North,3,0,0,2,5,LOW
North,4,0,0,2,6,LOW
North,4,0,0,2,6,LOW
North,2,0,0,2,4,LOW
North,2,0,0,2,4,LOW
North,2,0,0,1,3,LOW
North,3,0,0,2,5,LOW
North,2,0,0,2,4,LOW
North,3,0,0,2,5,LOW
North,3,0,0,2,5,LOW
North,3,0,0,2,5,LOW
North,2,0,0,2,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,4,0,0,1,5,LOW
North,3,0,0,2,5,LOW
North,2,0,0,2,4,LOW
North,3,0,0,2,5,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,1,0,0,1,2,LOW
North,1,0,0,2,3,LOW
North,1,0,0,2,3,LOW
North,2,0,0,3,5,LOW
North,2,0,0,2,4,LOW
North,2,0,0,1,3,LOW
North,2,0,0,2,4,LOW
North,2,0,0,1,3,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,1,4,LOW
North,4,0,0,0,4,LOW
North,3,0,0,1,4,LOW
North,3,0,1,2,6,LOW
North,3,0,0,2,5,LOW
North,4,0,0,2,6,LOW
North,4,0,0,1,5,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,0,3,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,4,0,0,1,5,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,4,0,0,1,5,LOW
North,2,0,0,1,3,LOW
North,3,0,0,1,4,LOW
North,3,0,0,0,3,LOW
North,3,0,0,2,5,LOW
North,3,0,0,1,4,LOW
North,3,0,0,2,5,LOW
North,2,0,0,2,4,LOW
North,1,0,0,2,3,LOW
North,1,0,0,2,3,LOW
North,2,0,0,3,5,LOW
North,2,0,0,0,2,LOW
North,2,0,0,1,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,0,3,LOW
North,3,0,0,1,4,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,3,0,0,1,4,LOW
North,3,0,0,1,4,LOW
North,3,0,0,0,3,LOW
North,2,0,0,0,2,LOW
North,2,0,0,1,3,LOW
North,1,0,0,1,2,LOW
North,1,0,0,1,2,LOW
North,1,0,0,1,2,LOW
North,1,0,0,1,2,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,1,0,0,1,2,LOW
North,1,0,0,1,2,LOW
North,1,0,0,1,2,LOW
North,3,0,0,1,4,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,1,3,LOW
North,2,0,0,1,3,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,1,0,0,0,1,LOW
North,1,0,0,0,1,LOW
North,2,0,0,0,2,LOW
North,2,0,0,0,2,LOW
North,2,0,0,1,3,LOW
North,2,0,0,0,2,LOW
North,2,0,0,1,3,LOW
North,2,0,0,2,4,LOW
North,2,0,0,2,4,LOW
North,1,0,0,2,3,LOW
North,1,0,0,2,3,LOW
North,1,0,0,2,3,LOW
North,1,0,0,1,2,LOW
North,1,0,0,2,3,LOW
North,2,0,0,1,3,LOW
North,1,0,0,2,3,LOW
North,1,0,0,2,3,LOW
North,2,0,0,2,4,LOW
North,3,0,0,1,4,LOW
North,4,0,0,1,5,LOW
North,3,0,0,0,3,LOW
North,4,0,0,0,4,LOW
North,4,0,0,0,4,LOW
North,4,0,0,0,4,LOW
North,4,0,0,0,4,LOW
North,5,0,0,0,5,LOW
North,4,0,0,0,4,LOW
North,5,0,0,0,5,LOW
North,5,0,0,1,6,LOW
North,5,0,0,0,5,LOW
North,6,0,0,1,7,LOW
North,5,0,0,0,5,LOW
North,6,0,0,0,6,LOW
North,6,0,0,1,7,LOW
North,5,0,0,1,6,LOW
North,6,0,0,1,7,LOW
North,4,0,0,1,5,LOW
North,3,1,0,2,6,LOW
North,7,0,0,1,8,LOW
North,4,0,0,1,5,LOW
North,3,0,0,2,5,LOW
North,3,0,0,2,5,LOW
North,4,0,0,0,4,LOW
North,3,0,0,1,4,LOW
North,5,0,0,2,7,LOW
